_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,ID,X,Y,LONGITUDE,LATITUDE,OBJECTID,geometry
614,13447964.0,Sheppard Ave E,Bayview Ave,81,313812.825,4847409.384,-79.388056,43.766589,81,"{u'type': u'Point', u'coordinates': (-79.3880560012, 43.7665890046)}"
615,13447719.0,Steeles Ave W,Weston Rd,82,301054.333,4847814.5139999995,-79.546526,43.770281,82,"{u'type': u'Point', u'coordinates': (-79.5465260053, 43.770281001)}"
616,13448786.0,Lawrence Ave E,Greencedar Crct,83,326293.49199999997,4846504.154,-79.23307700000001,43.758184,83,"{u'type': u'Point', u'coordinates': (-79.233076999, 43.7581840044)}"
617,13443562.0,Finch Ave E,Birchmount Rd,84,320412.405,4851022.1280000005,-79.305981,43.798998,84,"{u'type': u'Point', u'coordinates': (-79.3059809952, 43.7989979995)}"
618,13468751.0,Bloor St W,The East Mall,85,300224.4,4833000.238,-79.556709,43.636928999999995,85,"{u'type': u'Point', u'coordinates': (-79.5567089997, 43.636929001)}"
619,13455040.0,Wilson Ave,Jane St,86,304104.332,4842329.125,-79.508634,43.720915000000005,86,"{u'type': u'Point', u'coordinates': (-79.5086339938, 43.720915002)}"
620,13442867.0,Warden Ave,McNicoll Ave,87,319204.095,4851836.086,-79.320975,43.806349,87,"{u'type': u'Point', u'coordinates': (-79.3209749937, 43.8063490022)}"
621,13446042.0,Steeles Ave W,Keele St,88,305242.222,4849068.648,-79.494506,43.781579,88,"{u'type': u'Point', u'coordinates': (-79.4945059992, 43.7815790029)}"
622,13467345.0,University Ave,Wellington St W,89,314150.077,4834055.487,-79.38409899999999,43.646383,89,"{u'type': u'Point', u'coordinates': (-79.3840989923, 43.6463830047)}"
623,13452362.0,Albion Rd,Kipling Ave,90,298323.785,4844421.833000001,-79.580402,43.739724,90,"{u'type': u'Point', u'coordinates': (-79.5804020029, 43.7397240059)}"
624,13469800.0,The Queensway,Kipling Ave,91,302641.813,4831220.298,-79.526741,43.620917999999996,91,"{u'type': u'Point', u'coordinates': (-79.5267410053, 43.6209179957)}"
625,13444088.0,Finch Ave E,Gordon Baker Rd,92,317574.298,4850588.244,-79.341261,43.795147,92,"{u'type': u'Point', u'coordinates': (-79.3412610046, 43.795147)}"
626,13463674.0,Jarvis St,Isabella St,93,314521.331,4836556.757,-79.379452,43.668893,93,"{u'type': u'Point', u'coordinates': (-79.379452005, 43.6688930027)}"
627,13452352.0,Danforth Rd,Brimley Rd,94,325149.24,4843944.106000001,-79.247384,43.735172999999996,94,"{u'type': u'Point', u'coordinates': (-79.247384001, 43.7351730038)}"
628,13464879.0,Dundas St E,River St,95,316239.679,4835704.598,-79.358162,43.661198,95,"{u'type': u'Point', u'coordinates': (-79.3581619937, 43.6611979985)}"
629,13442036.0,McCowan Rd,McNicoll Ave,96,323142.614,4853133.6219999995,-79.27198,43.817941,96,"{u'type': u'Point', u'coordinates': (-79.2719800058, 43.8179410083)}"
630,13463362.0,St Clair Ave W,Gunns Rd,97,307128.53,4836870.943,-79.471124,43.671781,97,"{u'type': u'Point', u'coordinates': (-79.4711240064, 43.6717810093)}"
631,13467505.0,Spadina Ave,King St W,98,313267.078,4833952.883,-79.395046,43.64547,98,"{u'type': u'Point', u'coordinates': (-79.3950459963, 43.645470003)}"
632,13444619.0,Sheppard Ave E,McCowan Rd,99,324208.963,4849990.231000001,-79.258838,43.78962,99,"{u'type': u'Point', u'coordinates': (-79.2588380089, 43.7896200076)}"
633,13466241.0,King St E,Parliament St,100,315831.268,4834763.051,-79.36324499999999,43.652729,100,"{u'type': u'Point', u'coordinates': (-79.3632450108, 43.6527289987)}"
634,13456327.0,Rexdale Blvd,Martin Grove Rd,101,298263.37899999996,4841546.728999999,-79.581117,43.713844,101,"{u'type': u'Point', u'coordinates': (-79.5811170102, 43.7138439993)}"
635,13469998.0,The Queensway,The East Mall,102,301064.036,4830721.182,-79.546287,43.616419,102,"{u'type': u'Point', u'coordinates': (-79.5462869918, 43.6164190043)}"
636,13460975.0,St Clair Ave W,Spadina Rd,103,311961.711,4838301.274,-79.411169,43.684625,103,"{u'type': u'Point', u'coordinates': (-79.411169006, 43.684625004)}"
637,13447779.0,Dufferin St,Finch Ave W,104,307462.67,4847655.237,-79.466927,43.768852,104,"{u'type': u'Point', u'coordinates': (-79.4669269987, 43.7688520058)}"
638,13469914.0,Islington Ave,Evans Ave,105,303885.712,4830939.502,-79.511328,43.618393,105,"{u'type': u'Point', u'coordinates': (-79.5113280069, 43.6183930021)}"
639,13463137.0,Eglinton Ave W,Martin Grove Rd,106,299705.781,4837171.988,-79.563176,43.674477,106,"{u'type': u'Point', u'coordinates': (-79.5631760035, 43.6744770028)}"
640,13442866.0,Finch Ave E,Brimley Rd,107,322710.27,4851773.157,-79.2774,43.805706,107,"{u'type': u'Point', u'coordinates': (-79.2773999905, 43.8057060076)}"
641,13468970.0,Lake Shore Blvd W,Jameson Ave,108,310080.13800000004,4832602.151000001,-79.434563,43.633340999999994,108,"{u'type': u'Point', u'coordinates': (-79.4345630019, 43.6333410037)}"
642,13452053.0,Eglinton Ave E,Danforth Rd,109,325246.86199999996,4844158.155,-79.24616400000001,43.737097,109,"{u'type': u'Point', u'coordinates': (-79.2461639921, 43.7370970035)}"
643,13442522.0,Neilson Rd,McLevin Ave,110,327193.945,4852171.903,-79.22165799999999,43.809173,110,"{u'type': u'Point', u'coordinates': (-79.2216579987, 43.8091730021)}"
644,13467394.0,Simcoe St,Wellington St W,111,314032.183,4834018.663,-79.385561,43.646053,111,"{u'type': u'Point', u'coordinates': (-79.3855610006, 43.6460530113)}"
645,13448840.0,Jane St,Stong Crt,112,303284.48699999996,4846884.423,-79.518822,43.761917,112,"{u'type': u'Point', u'coordinates': (-79.5188219995, 43.7619170059)}"
