_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,WARD_NAME,X,Y,LONGITUDE,LATITUDE,MI_PRINX,OBJECTID,CAPACITY,MULTIMODAL,SEASONAL,SHELTERED,SURFACE,STATUS,LOCATION,NOTES,MAP_CLASS,geometry
1144,7577064,505,College St,505 College St,M6G 1A5,former TORONTO,Toronto,7577053,505,,,,9765,University-Rosedale (1111),312066.918,4835091.053,-79.40991054,43.65573634,2933285,180,14,No,Yes,No,,Proposed,,Not installed 2017,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.4099072953, 43.6557277596)}"
1145,14600292,1,Adelaide St E,1 Adelaide St E,M5C 2V9,former TORONTO,Toronto,14036810,1,,,,2851,Toronto Centre (1313),314637.566,4834492.545,-79.37804827,43.65031083,3281500,181,5,No,No,,pavers,Approved,front of walk,,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.3780482654, 43.6503108279)}"
1146,505931,10,Deauville Lane,10 Deauville Lane,M3C 3J2,NORTH YORK,Toronto,445087,10,,,,5344,Don Valley East (1616),318363.711,4841968.479,-79.33167232,43.71755371,1943625,182,16,No,No,,pavers,Approved,garden,Straight: call Avelino 416 688 921,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3316690924, 43.7175451152)}"
1147,9085483,108,Vine Ave,108 Vine Ave,M6P 1V7,former TORONTO,Toronto,9085469,108,,,,4606,Parkdale-High Park (404),307344.21,4836331.822,-79.46845517,43.66693608,3016040,183,8,No,No,,concrete,Approved,back of walk,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4684519109, 43.6669274964)}"
1148,828220,145,King St W,145 King St W,M5H 1J8,former TORONTO,Toronto,1145855,145,,,,3780,Spadina-Fort York (1010),314164.134,4834174.674,-79.38392591,43.64746426,1622900,184,8,Yes,No,,concrete,Installed,front of walk,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.38392268, 43.6474556716)}"
1149,14204767,157,Adelaide St W,157 Adelaide St W,M5H 4E7,former TORONTO,Toronto,7929478,157,,,,2852,Spadina-Fort York (1010),314072.116,4834325.039,-79.38506398,43.6488189,2268248,185,8,No,No,,pavers,Approved,front of walk,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3850607472, 43.6488103116)}"
1150,828080,187,King St E,187 King St E,M5A 1J5,former TORONTO,Toronto,1145266,187,,,,3779,Toronto Centre (1313),315251.53,4834525.652,-79.37043985,43.65060905,2173269,186,5,No,No,,pavers,Approved,front of walk,,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.3704366169, 43.6506004624)}"
1151,7730263,2,Carlton St,2 Carlton St,M5B 1J3,former TORONTO,Toronto,14023521,2,,,,3116,Toronto Centre (1313),314244.746,4835741.261,-79.38289926,43.66156461,2630614,187,5,Yes,No,,concrete,Approved,front of walk,,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.3828960214, 43.6615560195)}"
1152,30101226,25,Berwick Ave,25 Berwick Ave,,former TORONTO,Toronto,14024072,25,,,,3001,Toronto-St. Paul's (1212),312984.681,4840432.946,-79.39844814,43.70380221,4257862,188,8,No,No,,concrete,Installed,front of walk,adjacent previous rack,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3984481408, 43.7038022114)}"
1153,10180378,322,King St W,322 King St W,M5V 1J2,former TORONTO,Toronto,10180374,322,,,,3780,Spadina-Fort York (1010),313699.727,4834119.778,-79.38968358,43.64697581,2290025,189,5,No,No,,pavers,Approved,front of walk,,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.3896803387, 43.646967234)}"
